Название региона или Федерального округа,Период,"Число музеев,филиалов и структурных подразделений, ед.  ","Число музеев, ед.  ","Число филиалов, ед.  ","Число структурных подразделений, ед.  ","из общего числа музеев имеют музейные предметы, внесенных в АМС, ед. ",из общего числа музеев имеют предметы в цифровом изображении ,"из общего числа музеев имеют предметы в цифровом изображении, доступные в  Интернете 
на различных сайтах/порталах ","из общего числа музеев имеют музейные предметы, внесенные в электронный каталог ","Общий объем музейного фонда на конец года, ед.  ","из общего объема музейного фонда на конец года, ед. предметы, содержащие драгоценные металлы и камни ","из общего объема музейного фонда на конец года, ед. число предметов, включенных в состав государ-ственной части Музейного фонда Российской Федерации ","из общего объема музейного фонда на конец года, ед. число предметов, включенных в состав негосудар-ственной части Музейного фонда Российской Федерации ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся федеральной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся собственностью субъекта Российской Федерации, переданных музею в оперативное управление или безвозмездное пользование ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся муниципальной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего объема музейного фонда на конец года, ед. число предметов, являющихся частной собственностью ","из общего объема музейного фонда на конец года, ед. число предметов, включенных в экспозицию (выставку) для восприятия слепыми и слабовидя-щими ","Число предметов основного фонда на конец года, ед.  ","из общего числа предметов основного фонда, ед. предметы, содержащие драгоценные металлы и камни ","из общего числа предметов основного фонда, ед. число предметов, включенных в состав государ-ственной части Музейного фонда Российской Федерации ","из общего числа предметов основного фонда, ед. число предметов, включенных в состав негосудар-ственной части Музейного фонда Российской Федерации ","из общего числа предметов основного фонда, ед. число предметов, являющихся федеральной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов основного фонда, ед. число предметов, являющихся собственностью субъекта Российской Федерации, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов основного фонда, ед. число предметов, являющихся муниципальной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов основного фонда, ед. число предметов, являющихся частной собственностью ","из общего числа предметов основного фонда, ед. число предметов, включенных в экспозицию (выставку) для восприятия слепыми и слабовидя-щими ","Число предметов основного фонда, которые экспониро-вались в течение отчетного года, ед.  ","Число предметов научно-вспомога-тельного фонда на конец года, ед.  ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, содержащие драгоценные металлы и камни ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, включенных в состав государ-ственной части Музейного фонда Российской Федерации ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, включенных в состав негосудар-ственной части Музейного фонда Российской Федерации ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся федеральной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся собствен-ностью субъекта Российской Федерации, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся муниципальной собствен-ностью, переданных музею в оперативное управление или безвозмездное пользование ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, являющихся частной собственностью ","из общего числа предметов научно-вспомогательного фонда, ед. число предметов, включенных в экспозицию (выставку) для восприятия слепыми и слабовидящими ","Число предметов основного фонда, требующих реставрации, ед.  ","Число предметов основного фонда, требующих реставрации, ед.  ","Число предметов основного фонда, требующих реставрации, ед.  ","Число предметов основного фонда, требующих реставрации, ед.  ","Число музеев, имеющих автоматизированную технологию обработки поступлений и ведения электронного каталога музейных предметов ","Число музеев, имеющих автоматизированную технологию для работы посетителей с электронными ресурсами музея ","Число музеев, имеющих доступ в Интернет ","Число музеев, имеющих доступ в Интернет для посетителей ","Число музеев, имеющих собственный Интернет – сайт или  Интернет - страницу ","Число музеев, имеющих собственный Интернет – сайт или  Интернет - страницу, доступные для слепых и слабовидящих ","Число музейных предметов, внесенных в  АМС, ед.  ","из них предметов, имеющих цифровые изображения  ",из них доступных в Интернете  ,"Число музейных предметов, внесенных в Государ-ственный электронный каталог, ед.  ","Общая площадь территории музеев, га  ","Общая площадь помещений (зданий), кв. м.  ",из общей площади помещений экспози-ционно-выставочная площадь ,из общей площади помещений площадь под хранение фондов ,"Число строений, ед. всего ","Число строений, ед. объекты культурного наследия федераль-ного значения","Число строений, ед.  региональ-ного значения","Число строений, ед. техническое состояние помещений требуют капиталь-ного ремонта","Число строений, ед. техническое состояние помещений аварийные","Число строений, ед. по форме владения в оперативном управлении","Число строений, ед. по форме владения арендованные","Число строений, ед. по форме владения прочие","Число строений, ед. с безбарьерной средой для инвалидов и лиц с нарушениями зрения","Число строений, ед. с безбарьерной средой для инвалидов и лиц с нарушениями слуха","Число строений, ед. с безбарьерной средой для инвалидов и лиц с нарушениями опорно-двигатель-ного аппарата","Характеристики по видам охраны сторожевая (музея) количество постов, ед.","Характеристики по видам охраны сторожевая (музея) численность сотрудников охраны, чел.","Характеристики по видам охраны сторожевая (вневедомственная) количество постов, ед.","Характеристики по видам охраны сторожевая (вневедомственная) численность сотрудников охраны, чел.","Характеристики по видам охраны Постовые войск национальной гвардии (Росгвардии) количество постов, ед.","Характеристики по видам охраны Постовые войск национальной гвардии (Росгвардии) численность сотрудников охраны, чел.","Характеристики по видам охраны пожарная количество постов, ед.","Характеристики по видам охраны пожарная численность сотрудников охраны, чел.","Характеристики по видам охраны система видеонаблюдения площадь помещений, находящихся под контролем, кв. м.","Характеристики по видам охраны система видеонаблюдения площадь открытой территории, находящейся под контролем, га","Характеристики по видам охраны система автоматизированного контроля и управления доступом в местах прохода персонала (посетителей) площадь помещений, находящихся под контролем, кв. м.","Характеристики по видам охраны система автоматизированного контроля и управления доступом в местах прохода персонала (посетителей) площадь открытой территории, находящейся под контролем, га","Характеристики по видам охраны система контроля температурно-влажностного режима площадь помещений, находящихся под контролем, кв. м.","Характеристики по видам охраны система контроля температурно-влажностного режима площадь помещений, находящихся под контролем, кв. м.","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с выводом на пункт центрального наблюдения ","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения всего","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения в фондах","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения в экспозиции","Площади музеев, кв. м.,  оборудованнные пожарной сигнализацией с автоматическими установками пожаротушения в реставрационных лабораториях и мастерских","Число посещений, тыс. чел. всего ","Число посещений, тыс. чел. число индивидуальных посещений выставок и экспозиций всего","Число посещений, тыс. чел. число индивидуальных посещений выставок и экспозиций посетителей льготных категорий","Число посещений, тыс. чел. число индивидуальных посещений выставок и экспозиций лицами в возрасте до 16 лет","Число посещений, тыс. чел. число экскурсионных посещений всего","Число посещений, тыс. чел. число экскурсионных посещений посетителей льготных категорий","Число посещений, тыс. чел. число экскурсионных посещений лицами в возрасте до 16 лет","Кроме того, число посещений выставок вне музеев, тыс. чел.  ","Число экскурсий, ед.  ","Число массовых мероприятий музеев, ед.  ","Численность участников массовых мероприятий, тыс. чел.  ","Число культурно-образовательных программ, ед.  ","Численность участников культурно-образовательных программ, тыс.чел.  ","Число посещений музея всего, тыс.чел.  (сумма граф 85, 95, 97)  ","Число выставок - всего, ед.  ",из общего числа выставок открытых в отчетном году ,из общего числа выставок выставок (экспозиций) для лиц с нарушением зрения ,"Число экспозиций - всего, ед.  ",из общего числа экспозиций открытых в отчетном году ,из общего числа экспозиций выставок (экспозиций) для лиц с нарушением зрения ,из общего числа выставок проведены в музее из собственных фондов,из общего числа выставок проведены  с привлече-нием других фондов,из общего числа выставок проведены вне музея всего,из общего числа выставок проведены вне музея в других регионах Российской Федерации,из общего числа выставок проведены вне музея за рубежом,"Численность работников - всего, чел.  ","Численность сотрудников по штатному расписанию, чел.  ",Из них фактически работающих по штатному расписанию   ,Из общей численности работников - основной персонал  ,из числа основного персонала имеют образование высшее всего,из числа основного персонала имеют образование высшее имеют ученую степень,из числа основного персонала имеют образование среднее професси-ональное ,из числа штатного персонала имеют музейный стаж до 3 лет ,из числа штатного персонала имеют музейный стаж до 3 лет ,из числа штатного персонала имеют музейный стаж до 3 лет ,Из общей численности работников - количество инвалидов и лиц с нарушениями  ,Из общей численности работников - прошли обучение (инструктирование) по вопросам предостав-ления услуг инвалидам и лицам с ОВЗ  ,"Поступило финансовых средств за год, всего, тыс. руб.  ",из поступивших за год финансовых средств бюджетные ассигнования  учредителя ,"из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. субсидий на финансовое обеспечения выполнения госзадания ","из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. субсидий представляемых в соответствии с абз.2 п.1 ст.78.1 БК РФ ","из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. субсидий на осуществление капитальных вложений ","из поступивших за год финансовых средств бюджетные ассигнования  учредителя, в т.ч. грантов в форме субсидий ",из поступивших за год финансовых средств финанси-рование из бюджетов других уровней ,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности всего,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности от основных видов уставной деятельности,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности благотвори-тельные и спонсорские вклады,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности от иной приносящей доход  деятельности,из поступивших за год финансовых средств поступления от оказания услуг на платной основе и от иной приносящей доход деятельности от сдачи имущества в аренду,из поступивших за год финансовых средств от реализации ценных бумаг ,"Израсхо-довано за год финансовых средств, всего, тыс. руб.  ","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда всего","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда расходы на оплату труда основному персоналу","из израсходованных за год финансовых средств, тыс. руб. расходы на оплату труда из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на капитальный ремонт и реставрацию всего","из израсходованных за год финансовых средств, тыс. руб. на капитальный ремонт и реставрацию из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на приобретение (замену) оборудования всего","из израсходованных за год финансовых средств, тыс. руб. на приобретение (замену) оборудования из них для улучшения условий доступности для инвалидов и лиц с ОВЗ","из израсходованных за год финансовых средств, тыс. руб. на приобретение (замену) оборудования из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на пополнение фонда музея всего","из израсходованных за год финансовых средств, тыс. руб. на пополнение фонда музея из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на организацию и проведение выставок всего","из израсходованных за год финансовых средств, тыс. руб. на организацию и проведение выставок из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на реставрацию предметов основного и научно-вспомогательного фондов всего","из израсходованных за год финансовых средств, тыс. руб. на реставрацию предметов основного и научно-вспомогательного фондов из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на информатизацию музейной деятельности, в т.ч. создание электронных каталогов и оцифровку музейного фонда всего","из израсходованных за год финансовых средств, тыс. руб. на информатизацию музейной деятельности, в т.ч. создание электронных каталогов и оцифровку музейного фонда из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
","из израсходованных за год финансовых средств, тыс. руб. на обеспечение безопасности экспозиции, фондохранилищ, посетителей всего","из израсходованных за год финансовых средств, тыс. руб. на обеспечение безопасности экспозиции, фондохранилищ, посетителей из них 
за счет средств, полученных от предпринимательской деятельности и сдачи имущества в аренду
"
Всего по Российской Федерации,2021,2981,1882,736,363,1607,1485,1322,2186,93532944,3217718,53804069,8270229,45225311,10042915,6100933,138794,115609,69924109,3094783,52534493,7334815,43468260,7739934,4720976,116774,81212,7046810,23608835,122935,1269576,935414,1757051,2302981,1379957,22020,34397,6484262,48866,1455090,39085,1607,577,2737,971,2638,1703,55007954,34295342,20728626,30068197,443526.87,6313945.38,2039039.58,528181.4,12622,2961,2597,3539,692,10912,430,1280,1135,1642,1928,2323,6465,1417,3176,445,1324,432,1344,2429988,71563.6,1328044,2740.18,1258186,1023389,4094527.38,1026243,241092,370484,37969,95427.6,68381.4,25288.2,16030.5,27046.2,9050.7,10865,43427.3,2077289,79413,11023.6,302315,7611.7,114062.9,75855,64636,1522,19578,4007,779,38383,19674,17798,1832,207,77228,82838,74192,46298,33863,2036,8137,20500,26004,26431,2520,8199,96571559,76069025,60497537,10369824,2705172,696722,856717,19644366,12815109,2119245,4414084,843442,1451,96237173,54716305,8763897,34638916,4900969,6756208,778191,3209118,34869,775870,429703,147065,3626486,908488,563560,34290,459163,149509,3538212,428896
Центральный федеральный округ,2021,721,442,211,68,399,390,347,547,31333830,1392129,21287654,1359449,18788209,2665321,1272882,36819,37598,24525347,1391963,21176153,1161567,18516453,2359005,1017914,29318,14007,1634172,6808483,166,111501,197882,271756,306316,254968,7501,23591,2951355,17368,366095,13992,399,163,679,312,671,499,20692019,13027984,7770006,11214695,14084.43,2120693,658813,178182,3437,838,532,863,125,2763,124,550,428,549,589,787,2203,505,998,194,612,121,442,933010,33291.9,635222,2148.24,496387,429574,1341283,423271,86620,124545,13119,27539.4,20685.3,8294.9,4639,6854.1,2508.3,2943.7,11663.6,587861,23950,3981.7,82559,1739.6,33260.7,15925,13761,360,4739,1369,204,7199,5551,3175,866,99,26770,28955,25668,15439,11544,796,2643,7321,8780,9241,750,3094,41406577,33511621,26464792,5081264,1501621,6593,114684,7780272,4852583,643668,2153157,584263,0,41419798,21355958,3511558,12565016,1912980,2721642,182504,1451844,8843,246287,123849,30226,2167269,432041,126808,12281,245112,67629,1640763,228694
Белгородская обл.,2021,45,31,12,2,38,37,36,40,696724,5109,281101,223566,158344,77954,244117,0,1252,511196,5109,281101,220145,158344,77954,217192,0,1064,132864,185528,0,0,3421,0,0,26925,0,188,5409,257,33647,250,38,28,43,33,43,41,577142,527931,364795,421793,60.49,57402,21040,2893,81,4,24,17,1,74,4,3,23,25,32,26,76,14,29,4,12,7,18,31167,19.05,7491,9,6936,6066,47709,6700,1271,4385,876,1062.2,466,129.1,189,596.2,87.9,413.8,348.2,47606,1640,201.8,16132,257.3,1521.3,1479,1398,85,135,42,8,860,291,328,6,0,820,824,798,515,375,4,85,236,244,317,34,97,647071,556584,478928,21917,0,654,780,89707,41044,3553,45000,2898,0,634646,402958,31163,258235,7512,13474,0,13922,496,3199,7784,609,6826,528,800,97,569,157,15675,1541
Брянская обл.,2021,33,17,14,2,15,13,12,29,564437,50914,356635,20536,300118,49745,18656,0,6111,429981,50914,356635,20536,300118,49745,18656,0,5751,78994,134456,0,0,0,0,0,0,0,360,29858,25,12252,25,15,2,33,8,33,19,123587,53181,30465,204874,129.58,33117,14505,1775,63,3,6,26,2,54,2,7,6,5,15,3,9,14,28,2,2,9,20,10240,15.49,151,0,6167,1803,20506,3443,432,2710,0,526.5,271.8,143.4,169.2,254.7,94.2,131.7,141.7,13358,1630,93.4,1790,59.5,679.4,1180,1040,44,356,206,31,895,199,86,26,1,328,361,322,228,157,2,61,64,111,142,12,31,210342,186992,168131,16245,0,0,3,23347,15096,400,7757,204,0,208199,139579,4166,67775,1712,7694,90,4108,114,1520,332,232,4571,2047,545,0,43,0,6817,214
Владимирская обл.,2021,24,24,,0,13,13,12,16,936433,34969,497176,118312,488002,21220,104961,1665,22,690251,34969,497176,105926,488002,21220,67948,0,0,60336,246182,0,0,12386,0,0,37013,1665,22,55141,1146,7296,974,13,5,24,9,24,21,652966,414198,268596,520466,86.63,70734,21344,8376,177,73,50,49,6,165,9,3,8,10,11,5,10,8,26,11,70,3,177,21596,10.22,1831,1.5,6314,1440,47139,3173,1439,1181,213,1529.8,1194.4,213.1,182.2,335.4,53.5,135.2,50.8,27458,603,45,2311,50.5,1625.3,489,392,6,212,34,7,210,214,65,17,1,1008,924,874,670,434,4,157,265,245,361,21,140,811164,508171,459466,32567,3015,1465,30641,272352,255290,528,15902,643,0,914505,533021,184587,362834,124220,10406,2127,40444,878,3057,5763,603,12064,4467,1858,67,4993,316,36435,2257
Воронежская обл.,2021,27,20,,7,16,16,14,21,608944,21205,286637,3445,252722,40230,52154,227,115,384459,21205,286637,3445,252722,40230,43919,227,115,68602,224485,0,0,0,0,0,8235,0,0,31078,2,12841,2,16,2,26,9,25,19,233900,180504,86507,188020,855.88,29566,13984,2403,67,8,20,23,1,63,4,0,19,24,18,4,13,26,66,2,5,5,13,9998,4.01,0,0,8703,2218,19030,1237,54,1159,0,738.9,549.8,309.9,182.7,189.1,56.7,62.4,117.4,23290,633,43.1,1340,37.9,819.9,574,465,1,185,16,15,314,169,91,23,0,436,455,427,201,180,21,16,141,148,86,9,55,336303,284834,200952,25242,10111,0,1456,50013,33010,10997,6006,189,0,308218,195818,17060,93875,6869,0,0,22781,172,11390,489,59,5466,2097,0,0,460,168,15198,496
Ивановская обл.,2021,22,21,1,0,13,12,12,18,1119842,34437,988668,33994,852366,116334,49207,0,3524,1024046,34437,932702,31936,850713,63543,41657,0,2873,42772,95796,0,55966,2058,1653,52791,7550,0,651,44304,165,3338,80,13,3,22,13,22,20,310698,205940,110412,168964,11,32338,12412,3132,56,8,26,17,2,50,1,5,12,12,14,6,21,12,31,0,0,1,1,18447,5645.19,234,0,4612,8629,30124,6066,1567,4067,0,382.6,271,114.9,88.8,111.6,23,41.4,120.3,11644,393,33.8,684,16,432.4,410,341,15,130,68,3,161,206,43,14,0,511,731,489,218,170,6,40,97,137,191,13,56,314664,263713,220245,18888,507,0,2615,48336,26287,593,21182,220,0,305115,190189,21108,106525,10923,8894,472,4958,14,2277,711,710,6821,2145,935,0,679,134,22198,376
Калужская обл.,2021,38,12,25,1,11,10,8,25,491940,26721,242438,30333,136330,28533,88717,0,15,307216,26721,239378,30333,136330,28533,75071,0,15,32489,184724,0,3060,0,0,0,13646,0,0,38157,236,14055,209,11,8,33,14,37,9,158787,129175,113151,148989,68.93,55399,22691,2799,76,18,9,22,5,65,4,7,16,21,31,5,9,3,3,3,5,0,0,27578,12.52,15116,0,2579,2069,44247,6837,835,5864,48,949.4,654.2,313.9,225,295.2,154.2,132.2,99.5,25639,791,157.2,4932,67,1173.6,876,797,16,139,33,4,286,454,136,32,0,463,646,459,349,189,6,78,175,142,140,19,32,666347,551427,389017,161394,0,0,284,114636,96829,270,17165,372,0,947028,277424,45380,150220,23420,11801,1557,146288,700,7475,2193,941,358458,4266,3399,67,5648,767,22864,2945
Костромская обл.,2021,29,18,9,2,14,14,5,20,688589,27711,470206,2653,424247,225370,22744,0,54,494572,27711,470206,2517,424185,46112,13131,0,54,23717,194017,0,0,136,62,179258,9613,0,0,53735,209,3793,199,14,2,28,6,24,12,257422,132700,35646,96732,280.41,35405,15421,6809,120,43,30,76,2,112,2,6,5,5,7,3,7,17,53,2,9,18,21,21364,21.18,4836,0,5649,3075,19795,5231,2294,645,0,439.2,317,81.7,100.9,122.2,21.6,32.6,16.1,10838,637,18,2321,42,499.2,624,472,1,181,47,5,291,225,108,23,1,529,580,524,250,150,10,74,124,189,211,18,287,313521,263783,231213,10733,0,111,6850,42888,30909,589,10593,265,0,313303,184210,11120,66057,2777,8001,4290,5025,0,2976,625,625,9461,4426,827,317,1169,1078,40804,1297
Курская обл.,2021,37,4,33,0,4,4,4,29,691688,11551,512552,32773,282812,258767,33956,0,173,569203,11551,512104,21099,282812,258505,22282,0,139,81423,122485,0,448,11674,0,262,11674,0,34,27925,680,10605,680,4,6,35,6,35,34,277587,201779,171431,343021,41.01,15045,7600,1478,56,5,10,6,1,53,1,2,7,3,23,14,48,3,4,0,0,0,0,1256,0.41,1256,0.18,0,105,12544,395,395,0,0,410.3,195,102,87.2,215.3,129.4,148.7,142.8,27200,848,39.5,2301,39.2,489,485,468,4,150,0,7,351,110,24,9,0,421,469,419,268,210,9,46,95,133,186,38,20,406187,391188,248311,2011,116288,0,0,14999,10795,3842,361,0,0,397397,200083,1383,195649,1360,8114,0,996,0,196,313,0,2956,2885,213,45,716,137,13136,95
Липецкая обл.,2021,27,5,14,8,18,12,9,12,500839,11642,182104,0,118266,61139,14016,6435,274,248223,11642,182104,0,118266,61139,7708,599,215,58625,252616,0,0,0,0,0,6308,5836,59,2164,24,18343,24,18,2,24,9,17,12,89499,56174,48941,57549,25.44,18763,10428,1147,45,6,14,6,9,44,1,0,10,8,12,2,3,14,19,2,2,8,8,5206,129.24,4766,0,1917,785,15142,1829,550,1154,0,178.9,86.6,35.5,42.4,92.3,21.6,55.5,80.2,6543,475,34.4,711,18.8,232.1,427,386,4,148,28,5,213,163,51,5,0,259,237,219,144,129,7,14,54,52,99,6,43,160833,153020,121866,25090,1200,436,536,7277,4284,1187,1790,15,0,155885,105728,2565,101105,1030,1856,78,3211,0,299,309,78,1779,451,0,0,334,0,6123,917
Московская обл.,2021,103,75,15,13,65,61,57,88,2761046,39252,1432574,383641,1152154,193458,318424,6432,22691,1922365,39252,1395969,366030,1111382,149552,245131,6432,619,250996,838681,0,36605,17611,40772,43906,73293,0,22072,68020,624,45800,601,65,28,101,56,97,71,1075207,922498,773807,863557,3699.05,319298,133756,22362,541,91,72,149,25,509,18,14,68,86,107,112,262,63,137,21,23,2,3,140215,16659.67,32754,32.41,58240,43277,167737,23788,9591,6219,568,4474.3,3282.2,1190.8,791.2,1192.1,585.3,455.2,936.6,100332,2930,859,8783,207.6,5540.9,1795,1512,30,956,202,41,679,816,300,103,1,3739,3978,3539,2195,1589,61,452,1093,1270,1170,88,647,4330904,3520778,3229880,252634,6590,0,8805,801321,556284,5418,230185,11287,0,4428689,2307669,339624,1457981,175897,194510,111804,102620,2145,28591,8663,2286,143651,24046,19501,943,16077,5602,269292,8392
Орловская обл.,2021,19,12,7,0,7,7,6,9,397130,6285,227218,5806,183477,59986,19488,0,0,280752,6285,227218,5806,183477,59986,10683,0,0,24085,116378,0,0,0,0,0,8805,0,0,47683,18,7866,16,7,1,14,4,12,5,228841,124801,106722,132735,95.25,21054,8602,1652,56,17,9,15,3,55,1,0,0,0,3,11,35,5,13,1,11,3,3,3040,420,0,0,2624,0,16248,1589,211,1334,25,223,171.5,46,51.5,51.5,16.9,25.2,40.7,8235,685,29.2,1333,31.4,283.6,344,326,11,99,21,0,158,113,73,13,0,437,462,435,244,184,5,58,98,122,213,15,28,254092,227707,217503,3959,0,0,5503,20882,13304,192,7385,0,0,253825,190244,6761,111053,1034,550,0,4298,0,1473,467,12,834,777,350,0,284,19,2782,54
Рязанская обл.,2021,29,28,1,0,21,20,18,28,586543,30524,341841,94491,323050,37068,22161,0,26,409020,30524,341841,57084,323050,14650,13433,0,25,54632,177523,0,0,37407,0,22418,8728,0,1,7617,135,73072,126,21,6,29,8,28,27,328007,225707,109249,258950,262.22,52099,25150,3805,117,27,18,33,4,106,0,11,21,19,34,23,55,4,12,2,3,0,0,24315,39.55,2868,0.27,18012,8145,36990,2671,2511,122,38,864.5,618.3,202.4,149.3,246.2,70.9,74,124.6,25310,894,89.8,2855,79.5,1033.8,981,875,2,63,9,7,392,341,248,7,0,706,768,700,400,280,10,87,168,260,272,16,57,551753,469480,441757,22227,0,52,8690,73583,59576,3683,10286,330,0,543659,329391,28968,187597,13075,636,0,6164,165,1425,281,182,2582,1595,3790,0,3776,138,26881,286
